FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4
-14.86467867,-28.10286077,0,0,74.89465262,-59.68250788,-2.706796188,0.636659118,200.2585361,-27.89892352,0,0,249.4993019,0,0,239.9083579
10.31083033,10.79526171,0,0,-59.37834235,60.86919526,-9.415659894,0.632041357,-136.118314,2.80879963,0,0,-189.5776613,0,0,-5.579983443
-24.60993564,-41.50362617,0,0,137.5054798,10.02711177,32.85663923,0.627425362,62.61701655,20.20047981,0,0,106.8593767,0,0,148.1859202
9.09790088,0.189027633,0,0,-24.72241522,-0.231145815,-19.69786771,0.62281124,101.8319246,-27.12948257,0,0,92.45115397,0,0,168.1942271
-11.88630128,-32.46271908,0,0,32.35232961,38.06395682,11.74157067,0.618199102,-179.2195379,39.0867724,0,0,-215.0880719,0,0,-29.46027457
-6.744665081,-30.04500444,0,0,82.95690133,-28.76498041,0.388068828,0.613589056,237.1580584,-28.3649197,0,0,287.8313784,0,0,274.3548938
15.78260238,11.02003821,0,0,-76.6799107,50.75951752,-13.86358634,0.608981211,-142.5638658,10.67659052,0,0,-202.3514351,0,0,-2.589022835
-41.65874994,-66.0743894,0,0,132.3514558,-31.59997209,23.33573533,0.604375674,47.65946833,16.99799979,0,0,93.06038077,0,0,138.520933
-9.733801069,-18.5806999,0,0,-30.1005476,-18.00715231,-31.75516627,0.599772553,103.0139249,-41.50821509,0,0,93.75120577,0,0,158.7020472
-35.64669261,-46.3884487,0,0,33.92235112,14.01503717,-1.104011454,0.595171954,-197.1601815,26.78493952,0,0,-239.961629,0,0,-55.1842169
-37.02599339,-56.24908568,0,0,99.67195246,-79.50073085,-23.25730634,0.590573984,249.2117225,-51.06682339,0,0,298.0430117,0,0,268.3692354
3.366517345,-1.631659709,0,0,-77.6504855,30.92847099,-42.20631013,0.585978749,-144.2204704,-12.73573447,0,0,-216.9123798,0,0,-26.84442657
-35.81443861,-57.51395712,0,0,129.4863446,-22.0021031,10.95939949,0.581386354,39.10113749,11.50117763,0,0,71.73836109,0,0,110.2323675
9.762021449,-0.959715323,0,0,-31.32841913,-2.170999994,-23.09170716,0.576796905,115.0512276,-37.15649745,0,0,105.4563878,0,0,156.0524955
3.781048898,-17.98945908,0,0,15.7662888,53.54645256,21.60545385,0.572210505,-207.712924,42.47043189,0,0,-246.5245918,0,0,-66.3489526
4.318249151,-24.59546944,0,0,74.42234106,-23.97468103,9.010409118,0.567627259,235.0503119,-16.23556345,0,0,299.3624564,0,0,264.3399283
21.26939439,11.35588342,0,0,-99.77395231,67.14559223,-3.329247514,0.56304727,-157.662308,22.62984071,0,0,-210.0416114,0,0,-12.68942391
