Time:1Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Event Id,Event Date,Event Duration
155.7439999999,314,15.0681262207,15.0684739104,15.0684588762,15.0683448046,15.0694757306,15.0686656852,15.0686184852,15.0681537956,15.0732214842,15.0727068904,15.0727676462,15.0725597467,15.0719845909,15.0718966305,15.0719055195,15.0734298306,33553:33554,156.6240001591:156.6400001589,0.0159999998:0.0000000000
156.2400000000,315,15.0814337298,15.0817621037,15.0817505039,15.0816626071,15.0827613453,15.0819438182,15.0819225618,15.0814710681,15.0861440716,15.0856286173,15.0856885291,15.0854827699,15.0848821204,15.0848324885,15.0848176445,15.0863461161,33552:33553:33554,157.1120001590:157.1200001591:157.1440001591,0.0000000000:0.0240000000:0.0000000000
156.7359999998,316,15.0856458866,15.0859584995,15.0859800545,15.0858869251,15.0869925938,15.0861519278,15.0861192731,15.0857046730,15.0901754257,15.0896051113,15.0897273686,15.0895026856,15.0888985118,15.0888568201,15.0888456100,15.0903751982,33553:33554,157.6240001591:157.6320001590,0.0079999999:0.0000000000
157.2319999998,317,15.0712280871,15.0715492312,15.0715465607,15.0714753716,15.0725893383,15.0717471972,15.0717166579,15.0713006382,15.0761126797,15.0755536462,15.0756592799,15.0754579145,15.0748424311,15.0748016178,15.0747798345,15.0763140097,,,
157.7279999999,318,15.0664275091,15.0667195119,15.0667155332,15.0666547665,15.0677579054,15.0669222151,15.0669025051,15.0664752952,15.0712381538,15.0707166039,15.0707924815,15.0705904473,15.0699985250,15.0699325783,15.0699126306,15.0714597495,,,
158.2239999999,319,15.0581123667,15.0584001263,15.0584229925,15.0583322663,15.0594541914,15.0586188984,15.0585653834,15.0581474787,15.0632906220,15.0627323606,15.0628419277,15.0626324414,15.0620448823,15.0619632575,15.0619716776,15.0635132389,33552:33553:33554,158.7280001591:158.7280001591:158.7520001591,0.0000000000:0.0240000000:0.0000000000
158.7200000000,320,15.0495808387,15.0498855826,15.0499076338,15.0498147815,15.0509339735,15.0500888113,15.0500480891,15.0496205228,15.0549845091,15.0543933942,15.0545314141,15.0543072651,15.0536956690,15.0536371738,15.0536488125,15.0551786974,33552,159.2080001591,0.0000000000
159.2159999998,321,15.0544322471,15.0547642736,15.0547661335,15.0546843781,15.0557749764,15.0549440007,15.0548916019,15.0544725946,15.0597349574,15.0591912413,15.0593061807,15.0590641341,15.0584648274,15.0584069716,15.0584065563,15.0599306914,33552:33553:33554,159.8320001590:159.8320001590:159.8560001589,0.0000000000:0.0240000000:0.0000000000
159.7119999998,322,15.0519277220,15.0522700760,15.0522683553,15.0521630856,15.0532664236,15.0524531986,15.0523773757,15.0519695585,15.0572114201,15.0566676660,15.0567754735,15.0565539239,15.0559699245,15.0558938001,15.0558920952,15.0574172556,33552,160.3120001589,0.0000000000
160.2079999999,323,15.0564186401,15.0567526209,15.0567750041,15.0566473643,15.0577509480,15.0569630000,15.0569083625,15.0564603689,15.0616091617,15.0610448972,15.0611644033,15.0609581606,15.0603681122,15.0602993109,15.0602712827,15.0618096266,,,
