Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Event Id,,,
800.9999994,3128,-25.17414468,139.1689944,-19.30653553,-44.93916826,-46.49378084,-111.008198,16.34409942,-41.46281742,40.13003103,19.62925241,86.84368246,23.96046683,17.48057136,10.91303162,0,-314.6597672,,,,
801.0079994,3128,-15.25043191,-98.48352623,-2.034959476,-28.21282774,-18.63340174,272.4373396,26.69998124,133.234913,-10.51392255,0.028849066,-92.74720846,-1.341223517,-7.666975467,-2.206219434,0,131.7100293,,,,
801.0159994,3128,102.4594441,228.3484503,21.65784355,-93.93683474,6.609178696,-238.5829281,-1.657120695,-95.10491035,49.39532439,3.846470492,110.4236927,7.889039264,7.064609846,-4.930329199,0,-48.37025169,,,,
801.0239994,3129,-90.13780828,-93.32683155,-28.49996205,8.247757151,-67.21640516,205.426466,31.94774383,82.78259592,5.156510171,25.53087009,-48.81242089,28.18933921,16.58646343,21.32316437,0,-212.0846092,,,,
801.0319994,3129,96.98550182,79.77917424,23.09183849,-84.07370214,13.9710727,19.71687195,3.649854224,25.41158655,7.393787055,-6.595553507,9.480568699,-7.869669296,2.546845418,-16.91250211,0,215.1527122,,,,
801.0399994,3129,-5.710114734,131.7377426,-1.600051768,-29.64464082,-39.58848652,-107.0131912,1.346804348,-53.64517014,38.14368502,20.14493116,62.52540781,35.13514601,15.06994334,10.67354085,0,-310.9087441,,,,
801.0479994,3129,-2.476825758,-92.93929547,6.989816905,-28.33073682,-23.75592635,274.3296984,10.92284756,126.4800472,-8.482964882,7.926219744,-95.5408677,6.253622765,-8.864670085,4.382568183,0,125.8724355,,,,
801.0559994,3129,101.0410525,253.904754,20.77660392,-105.1270657,-0.718367461,-221.7946345,-22.63300897,-85.61716079,40.94878693,-7.598449195,91.90461729,11.96175737,1.11335729,-21.3893626,0,-44.92609393,,,,
801.0639994,3129,-76.37757826,-72.43838401,-16.04776297,-0.646096969,-56.53819716,223.5798295,7.925413945,93.50830061,5.942529908,14.43833735,-70.07920805,29.98193138,13.03944153,9.4158485,0,-192.8513524,,,,
801.0719994,3129,126.5943025,90.77068296,46.7330506,-99.73440481,22.88941214,9.749530129,-6.645609015,14.32854959,24.83404576,0.728251478,11.71649161,1.999931526,4.736078499,-8.081839449,0,210.4605543,,,,
801.0799994,3129,16.06843195,130.5273902,20.70482711,-52.28124526,-37.81988378,-119.878841,4.416376343,-77.50258951,54.42727655,29.08933833,68.30788739,50.42989974,22.23659031,17.68191989,0,-323.9418146,,,,
801.0879994,3129,12.26544343,-92.60618637,17.00127461,-50.00985547,-12.93501156,262.0677541,16.54669224,104.1599857,-1.54860602,17.15561424,-76.35604398,16.87226215,15.48749754,12.02821673,0,109.9694209,,,,
801.0959994,3129,126.3327044,239.5198892,38.36712201,-124.8565677,10.87234047,-236.3223113,-1.600660414,-110.899838,49.82097549,7.90872026,112.0751199,21.54722217,27.7372007,-5.959021027,0,-73.42187215,,,,
801.1039994,3129,-43.65477722,-89.91565052,14.74096674,-15.84271919,-47.48127345,197.7945917,37.33877703,54.21254303,23.34112295,34.98918558,-56.42631848,42.82770327,14.88644492,27.0090087,0,-213.1156391,,,,
801.1119994,3129,132.4597466,104.1009945,43.18875475,-106.5000238,27.98036754,-3.319568198,8.526474025,-5.13542675,31.19570729,13.43293996,33.37564484,16.83781787,-1.708088461,1.806143572,0,180.8703074,,,,
801.1199994,3129,8.861922991,143.7984864,0.788718178,-59.76092184,-44.16332657,-92.40756113,13.15133136,-60.12415571,39.53991939,21.2538964,67.04991892,61.33919712,14.20913936,10.80493164,0,-326.4127551,,,,
801.1279994,3129,10.48936738,-94.64342543,21.52910634,-59.29971646,-21.94965664,272.2709285,20.28736593,110.2927581,-11.42560285,9.935753068,-90.0370025,21.37313237,-7.654650477,7.154201429,0,129.8121629,,,,
801.1359994,3129,108.7148577,219.067568,32.51729314,-130.9577342,-1.794512698,-226.6560916,-9.842957371,-103.0212426,38.79294785,-0.377153903,105.0123823,23.20794366,4.164482592,-10.19389926,0,-67.90400767,,,,
801.1439994,3129,-60.87294851,-129.192426,-2.000173062,-30.95198865,-60.63999191,219.6619916,28.24362202,72.67881732,3.952123227,15.7969188,-70.12748612,34.50808252,9.91380411,11.17643378,0,-187.1544375,,,,
801.1519994,3129,118.7954117,60.03808585,39.76517195,-129.7106978,22.54581496,-2.956662947,-1.441742952,-2.196383444,28.7364916,8.993910134,26.33292514,-0.812674579,7.672812707,-3.702520218,0,198.8540107,,,,
801.1599994,3129,-2.301686069,87.57110952,4.771204404,-79.35033485,-44.47815273,-94.85733757,4.302268878,-64.80014547,40.8186715,22.96921707,58.23152961,42.26567955,19.58167816,8.608551078,0,-319.0129854,,,,
801.1679994,3129,16.35681701,-137.5621386,29.78324205,-69.60278786,-14.0901933,251.8052648,19.78144808,91.3140698,-18.3637968,11.66151761,-100.708149,6.449751583,-7.978097651,1.912709687,0,134.1566129,,,,
801.1759994,3129,114.2334417,220.9080623,34.22510898,-133.5086527,7.490329885,-241.9627778,-20.22423084,-117.4266668,36.5653728,9.303100486,102.1825834,18.51532017,9.423608509,-8.470439569,0,-82.06006604,,,,
801.1839994,3129,-51.31389278,-89.98486235,6.687870815,-32.38039784,-56.58224123,213.8873189,15.21046097,63.16158681,4.650174286,18.98342921,-77.57984876,35.41619835,8.933983633,8.621692215,0,-184.912879,,,,
801.1919994,3129,130.790537,109.6839553,69.88434932,-125.4967942,29.21859649,-46.03236025,9.077105354,-47.99555975,36.02868197,21.77488201,22.71053505,1.897771804,8.189844117,5.642990871,0,186.8774776,,,,
801.1999994,3129,-11.71269053,140.4613711,9.82157879,-78.50748529,-40.27666917,-125.7405335,8.932256183,-105.1591051,45.96117364,33.38942374,55.95248623,44.75531654,34.26058373,20.20612018,0,-351.8702649,,,,
801.2079994,3129,13.25300721,-81.84622117,18.23109559,-73.37072271,-19.19528839,241.6898951,9.957334524,74.03246854,-15.57112131,-4.12033462,-118.5942302,5.723464287,-2.926365469,-11.06296231,0,121.5592687,,,,
801.2159994,3129,116.5771239,244.7930684,48.89691078,-119.6768722,8.013448492,-269.3594726,-9.423045059,-155.1254231,51.05635965,13.12442788,91.38740512,17.63380535,15.40934729,-2.358849605,0,-96.95157613,,,,
801.2239994,3129,-84.80693294,-86.01881028,-5.524612683,-22.10011875,-57.9840446,207.0219801,16.045738,48.46092426,-10.75021258,22.21424437,-73.73719085,36.94059229,15.54237225,19.77955199,0,-199.3667653,,,,
801.2319994,3129,103.2325972,89.69782451,38.16716194,-132.3383079,20.18068409,-28.72921761,-16.86958933,-26.90096643,-6.584797898,-15.3469517,1.156725506,-0.113253707,-7.555109086,-22.07152606,0,197.0513789,,,,
801.2399994,3129,-0.882153441,86.22334467,17.56624154,-76.19790984,-29.26609831,-127.7376692,7.833705136,-107.5424981,41.09314621,25.37697758,44.18043824,40.44484926,32.75252996,17.66894313,0,-334.4467422,,,,
801.2479994,3129,13.12717378,-111.9248808,22.85518713,-78.64221635,-3.987299507,230.1096068,26.30931159,66.875998,-9.048926557,10.765534,-94.54416792,9.112836359,6.840623297,9.608967507,0,123.9587944,,,,
801.2559994,3129,105.3576524,214.394116,42.20302071,-148.9030857,9.331134181,-268.2172836,-11.54056742,-150.2717289,42.0441198,1.357335037,90.3004199,19.37539032,9.777952405,-13.97365652,0,-89.876799,,,,
801.2639994,3129,-60.80704502,-120.779929,18.66964696,-41.45289544,-42.76735703,183.2182292,14.70668725,22.07836582,9.576295287,35.78046395,-73.52131262,35.42226601,35.05293956,25.24245579,0,-191.6174211,,,,
801.2719994,3129,138.3781211,108.371485,67.58136458,-127.7465488,37.06845087,-58.95212224,-14.34335133,-62.3497608,31.03663604,25.08335912,28.28739349,19.14040472,21.72696904,13.37316362,0,190.6125804,,,,
801.2799994,3130,12.21242861,127.9220015,28.84305079,-77.29685124,-31.23312427,-126.6165795,-18.42267495,-122.6325779,56.78407116,40.34744891,53.55314015,73.52669372,35.03639753,28.75399098,0,-305.0485606,,,,
801.2879994,3130,15.89132362,-80.45356546,30.54086642,-87.12358791,-6.437681452,212.8869773,-15.96406827,36.33935252,-5.235240561,12.79735255,-86.5972085,25.00683297,19.75679239,4.191915563,0,150.2385881,,,,
801.2959994,3130,107.0996516,227.2096328,53.86751596,-142.6442613,12.49244972,-302.4852897,-28.49712537,-197.7251059,47.66864387,10.76262482,101.3149834,26.61738778,26.66967616,-6.269378106,0,-97.00707025,,,,
801.3039994,3130,-51.42228509,-125.5329883,27.93450536,-34.72240179,-37.28391531,140.6172747,17.35685502,-31.19863843,16.84067812,39.53792208,-70.20118266,48.83650072,34.39648169,30.89492711,0,-187.524703,,,,
801.3119994,3130,119.8065358,84.65236875,54.03489122,-126.6655713,36.19490957,-100.2540682,-10.84700233,-105.8000208,20.35712346,10.94470611,33.9012999,19.15982371,21.32403812,-4.44186727,0,162.8096234,,,,
801.3199994,3130,-24.32588942,69.12983041,10.11420579,-69.63519312,-36.5324294,-141.5542887,-3.129083681,-144.138149,24.96973624,18.07523604,38.97930284,60.67787701,27.81839889,2.341672911,0,-334.5383407,,,,
801.3279994,3130,13.39518285,-146.0701635,24.58708431,-77.91083801,-5.799501355,194.3024938,6.682154916,16.51813596,-21.97317431,2.585195286,-105.7695404,23.0518674,8.506976855,-5.464201714,0,158.101614,,,,
801.3359994,3130,103.8449267,182.6974736,32.83843293,-141.7671087,5.475412087,-287.2793011,-19.30226276,-188.2793025,34.19416528,3.018918463,99.48314726,28.7771375,9.980553217,-15.23662121,0,-83.96442648,,,,
801.3439994,3130,-63.85650333,-152.2052123,4.983272873,-48.24100897,-52.72896172,180.901333,14.52705248,-3.505162723,-1.063104441,27.97489162,-71.44942955,43.16993309,12.3910037,14.55926649,0,-153.0428005,,,,
801.3519994,3130,112.9112595,53.04299955,49.37891817,-153.1673458,21.76240294,-89.36837544,-18.78281905,-102.6230418,5.595087805,-0.563451687,28.75522591,11.66003477,12.79705309,-17.65814011,0,199.9535698,,,,
801.3599994,3130,-19.35711623,33.23772032,17.69063971,-98.74481794,-46.63083082,-137.7070433,-6.562298091,-152.3658276,4.344194043,11.87865674,38.07599736,51.71924192,20.71860989,-3.867028626,0,-309.6779391,,,,
801.3679994,3130,33.03472965,-148.6633841,42.05255169,-91.49146522,-1.864427691,176.2056662,13.58173136,-9.04848793,-17.22726711,19.55450266,-93.081575,21.74474817,11.9757154,11.47301972,0,159.5220126,,,,
