Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Event Id,Event Date,Event Duration
0.576,1,-22.46564069,-14.68914304,0,-29.80641569,0,-16.12138003,-22.04858593,-10.83151299,-12.70325653,0,33.37412337,0,-17.34786793,-25.43311861,-17.9174009,-15.25783978,,,
0.584,1,-33.28648513,-50.63876068,0,2.728547381,0,-6.255158925,14.76322735,0.56037764,0.493943234,0,-44.01315446,0,-10.60064577,-11.33659518,7.018121015,2.825287639,,,
0.592,1,-35.20717612,-32.35773647,0,-18.18697522,0,-15.62760248,-6.264640208,58.89209471,-27.90619638,0,101.5238396,0,-32.56716814,-26.38415402,27.96694053,-0.471563998,,,
0.6,1,-40.95516361,-40.91606092,0,-23.76854491,0,-13.72405316,-18.35391742,-29.33215381,-20.1624341,0,-55.112372,0,-9.280405679,-16.74088666,-33.31682316,-22.83260058,,,
0.608,1,-53.47952847,-56.87383333,0,-0.949608994,0,-15.49112788,6.296524317,80.19161663,-25.35427271,0,47.45543697,0,-35.94874684,-28.08768338,18.23762962,-8.108914491,,,
0.616,1,-24.08547056,-4.095996656,0,-24.11900533,0,-13.37845643,-33.20516654,3.069219297,-26.17671024,0,35.27077542,0,-25.15668867,-18.49257459,-16.61337349,-16.83582013,,,
0.624,1,-45.69167243,-37.0280173,0,-1.684770283,0,-5.823167219,14.25652587,10.55968967,2.103903939,0,-59.67643675,0,-1.594926729,-4.980164046,-1.22024992,-6.13293612,,,
0.632,1,-23.93417433,-37.88117288,0,-11.11611601,0,-3.754059286,0.835589408,62.20320434,-20.47994378,0,127.9844527,0,-19.00753642,-21.12752198,27.35622531,-1.41778232,,,
0.64,1,-31.56059625,-25.57029029,0,-24.04481383,0,-13.83639189,-21.62691707,-50.33717334,-6.739060956,0,-63.97310532,0,6.332467441,-8.756216484,-28.92956813,-19.18360456,,,
0.648,1,-59.90910174,-42.25636777,0,-11.3438631,0,-11.37023839,11.60496761,73.29570086,-22.98772526,0,30.30552202,0,-20.32824924,-29.98447756,20.26426671,-10.09991349,,,
0.656,1,-13.932163,-18.80394148,0,-15.29218388,0,14.07601865,-13.10460867,-13.65912976,-21.60248252,0,19.96513473,0,0.237394237,-2.379565638,-4.930950375,-5.421564125,,,
0.664,1,-44.05787372,-49.72292853,0,9.007058068,0,4.742728552,22.54944794,-17.86322202,23.71597698,0,-104.6467446,0,14.92731222,20.74750323,20.39563999,14.22052929,,,
0.672,1,-32.61760175,-29.2487137,0,-8.561361716,0,-3.324084124,-1.231644625,47.78196327,-5.400411265,0,73.93938092,0,-25.53297985,-20.89199686,34.52839296,1.703116028,,,
0.68,1,-35.02311509,-26.7712855,0,2.302000158,0,6.051732533,-13.96264357,-52.86836967,-0.465130293,0,-99.36094056,0,7.366312899,9.415522807,-20.66479055,-5.256671725,,,
0.688,1,-64.32412595,-41.38407733,0,12.11317095,0,-3.805134936,8.023849087,71.70847328,-18.46124527,0,23.87121667,0,-19.89278228,1.742902513,32.57931744,12.20873668,,,
0.696,1,-11.7266068,3.681408193,0,-19.72421973,0,-0.155767631,-32.16654548,0.232791362,-29.76355771,0,20.03477242,0,-17.52960466,-1.944405192,-13.63771598,-7.394723159,,,
0.704,1,-58.87149243,-34.13153475,0,3.022903155,0,-7.831975494,-0.056512369,25.09274165,-14.65528214,0,-84.63423511,0,-6.814203643,13.46909732,-5.855303999,-0.239990715,,,
0.712,1,-74.58859976,-31.14804423,0,-15.24423812,0,-12.29649546,-28.86329264,86.40580653,-60.96699544,0,99.68470089,0,-50.1163638,-19.70623006,0.532593705,-14.62643311,,,
0.72,1,-26.83528974,-3.36496775,0,14.92860857,0,25.61732093,-10.29420231,-39.25322297,-32.41089794,0,-104.1774951,0,1.613356622,20.78458723,-37.93887924,-6.78744241,,,
0.728,1,-31.32317882,-5.416876191,0,60.1172187,0,34.92968556,44.62304225,68.71061531,-20.18252832,0,9.734418959,0,13.67695201,44.31131252,53.89479075,44.0223665,,,
0.736,1,-18.98606543,15.87866412,0,28.62783112,0,29.9258062,-3.414616086,-15.47793018,-33.27597072,0,13.19131276,0,3.769097793,50.06239493,13.83864341,25.9853138,,,
0.744,1,-28.2787168,6.222822467,0,56.37838021,0,48.02724076,38.45291852,-2.29371884,-18.00723657,0,-75.49727686,0,4.520917497,60.57042767,19.48415247,30.49755818,,,
0.752,1,-11.68657217,45.60853921,0,55.00950211,0,55.50880878,35.76114006,52.71099395,-34.33546107,0,129.2212823,0,3.77944821,60.66227373,55.11810209,50.86036146,,,
0.76,1,-15.45918114,45.35333473,0,48.52927566,0,47.18437298,23.28095622,-52.28778611,-18.59716278,0,-54.13937762,0,25.67084473,86.7643157,4.317246596,40.05872588,,,
0.768,1,-42.21660221,0.078158525,0,53.64372006,0,28.01065201,33.7458854,85.78128916,-51.69318092,0,71.0729156,0,-21.02018994,50.98921356,47.45290359,37.49051981,,,
0.776,1,-0.110945651,32.22584679,0,38.47418767,0,38.31312662,0.326436735,1.998022537,-60.40408158,0,60.25895142,0,-5.815224253,58.1682228,5.683162889,31.47636221,,,
0.784,1,-13.17030529,28.66670268,0,72.49505683,0,55.24786616,46.45416648,17.60879802,-30.12643163,0,-54.09073946,0,8.125007468,86.69375726,30.54886295,57.12158892,,,
0.792,1,-29.53626027,34.45604677,0,53.72630821,0,46.52890693,17.54752554,85.52961265,-67.10173476,0,127.4851168,0,-24.11653058,68.27333546,52.3557754,52.83902325,,,
