Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Aux1,Aux2,Aux3,Event Id
550.2799996,2149,-37.39581533,-6.419665352,-25.55600191,-11.97197712,-13.89022125,21.57388032,-206.6419098,-315.3677156,33.05782803,-20.07078529,19.3980767,-34.66855965,0,-64.93397918,146.1441017,0,-0.010355659,-0.001215484,-0.007798612,
550.2879996,2149,-173.5397439,-43.96160029,3.886554114,-7.712120823,38.42299133,-30.81778411,204.5416483,268.3230409,-165.9330674,4.14293723,-15.84433427,-91.14756544,0,-68.55507451,-224.3417498,0,-0.01126654,-0.001350884,-0.008354015,
550.2959996,2149,265.6462727,7.851318301,66.95523546,-48.842473,-15.84892048,-51.68174719,-102.7987257,33.60455923,320.0104659,27.13964957,-27.62931439,189.3402012,0,159.1361905,519.5960973,0,-0.007809193,-0.002954308,-0.009143896,
550.3039996,2149,-149.1411,-47.3359827,-1.107407886,-5.331209857,37.15331362,-49.09079444,206.9835369,274.8208968,-168.2869997,18.44200109,-9.888898326,-76.86198222,0,-54.44973333,-225.4084578,0,-0.003577568,-0.005754051,-0.010732815,
550.3119996,2149,-66.08106181,-68.13279758,66.99329161,-29.84094755,69.1914979,-125.8260625,504.4481341,816.349714,-131.0702029,49.3937831,-61.04962101,2.345825383,0,64.83842775,-261.6523049,0,-0.004175553,-0.005404161,-0.010796287,
550.3199996,2149,137.7192336,12.50456395,18.13334734,-21.62417668,-18.10434563,-3.307535782,-180.1521036,-177.5754024,189.1286691,7.559596212,0.426034335,88.05747832,0,53.91996793,373.9846716,0,-0.004695765,-0.004589112,-0.010418566,
550.3279996,2149,-117.685358,-0.046052593,-29.28466171,17.41032617,13.57098106,37.08156732,-57.51987879,-142.4238825,-93.47815779,-2.457635712,29.06839435,-79.45270637,0,-88.73020473,-43.6544253,0,-0.002025288,-0.004518704,-0.012809754,
550.3359996,2149,-45.22261605,-18.27293592,21.1440711,-4.152786862,28.48986427,-21.08681575,127.7248866,203.0570564,-38.14720772,25.05200091,8.632865233,-4.906140328,0,3.290081351,-53.84311193,0,0.000368116,-0.00254877,-0.015372235,
550.3439996,2149,55.14389066,-1.594919877,16.67718433,-9.902963131,-14.31284888,-2.615388908,-83.46384892,-87.12951089,93.79748148,11.19072715,17.25920039,42.9420283,0,20.44345872,185.068031,0,0.000202152,-0.002764546,-0.015211148,
550.3519996,2149,-82.2173043,-8.587998018,-13.12630294,11.02320407,-0.971477016,16.02272286,-25.39539936,-84.04931295,-64.58283941,0.317873813,25.02779122,-52.86870608,0,-58.64364735,-25.46200884,0,-0.000218302,-0.003288294,-0.014683271,
550.3599996,2149,-47.54130143,-27.18879281,13.58200996,-11.06208748,9.486277972,-35.39269486,94.95076764,149.0570567,-35.97787545,8.86996329,6.752128766,-5.939362197,0,-5.67446133,-28.30918696,0,0.000324531,-0.002516287,-0.015364974,
550.3679996,2149,58.6457574,-5.652746991,7.768212492,-19.76144425,-21.09604983,-8.065938968,-125.0578667,-128.8627306,109.0458255,-13.80196509,11.10760596,45.69106357,0,13.48332912,240.2099559,0,0.000177049,0.002991684,-0.017694985,
550.3759996,2149,-158.6931944,-20.2620495,-25.87634179,12.13429037,21.82451909,13.28157884,31.03735545,-4.459138156,-133.6716635,-9.865902542,25.67049159,-87.33385347,0,-86.87215849,-129.5697769,0,0.000179835,0.012990821,-0.021912583,
550.3839996,2149,54.9331295,-14.82822538,35.1540785,-22.43143675,15.60875182,-37.92736961,44.39354217,154.7165565,85.86203254,12.51062532,-3.184777392,66.67575415,0,61.99405682,158.0821148,0,0.000451321,0.011808062,-0.021653185,
550.3919996,2149,-45.01783823,-6.905580905,-19.06719508,-4.535912982,-10.73998875,22.21084651,-147.0330842,-228.2950028,3.664091923,-22.43273132,26.40736071,-30.35351437,0,-62.20570055,117.2896883,0,0.000281667,0.008981655,-0.020298788,
550.3999996,2150,-125.5491295,-32.26709433,5.519344256,1.400302304,31.80681147,-23.90697548,159.3572492,225.2156144,-125.1085718,9.175933216,5.107495228,-58.19931982,0,-48.11101725,-150.4114322,0,0.000502059,0.01192508,-0.021714541,
550.4079996,2150,131.873467,18.22917675,33.39259502,-5.172626287,0.264286417,11.4323766,-124.1540735,-85.07138073,183.4148673,9.086059333,19.28706736,94.67211687,0,64.79874499,339.207016,0,-0.002075807,0.00727752,-0.019987116,
550.4159996,2150,-186.56092,-5.138079504,-25.61189033,39.44774728,40.04838752,49.48205203,29.69319096,-51.63332075,-159.4200777,-3.168015932,53.35121766,-105.1401872,0,-108.3154454,-175.846187,0,-0.006220334,0.003395408,-0.018716328,
550.4239996,2150,71.79946737,-4.492119629,46.71690939,-5.646760075,34.89291424,-30.03654505,110.9604792,251.0153986,95.89752626,33.0965018,2.947190564,87.08840087,0,88.59698665,136.1292273,0,-0.005537384,0.004467458,-0.019238528,
550.4319996,2150,-21.20228824,5.940461598,-23.84815343,11.82987097,-9.038877595,38.8534691,-175.6084488,-269.0731497,27.25902397,-6.940376314,40.17245243,-16.52140255,0,-51.04715945,132.4955847,0,-0.004433629,0.004321301,-0.019032194,
550.4399996,2150,-151.4369521,-46.28707675,1.393996355,4.120083317,23.62517986,-33.38044537,186.4431228,256.0023995,-154.5947889,11.00949202,2.130706232,-69.95520674,0,-50.12475167,-215.1039766,0,-0.005450748,0.004093843,-0.019129131,
550.4479996,2150,146.6978133,-0.651743076,26.23861669,-22.11359831,-24.83883401,-3.073549069,-144.2342695,-94.90906716,201.9721533,3.524448822,-5.072549375,106.8009995,0,80.20114905,371.4569894,0,-0.005466227,0.001548891,-0.019940934,
550.4559996,2150,-202.6137113,-26.18196801,-44.94163734,24.64191019,16.24419168,42.10545713,-0.380150568,-92.261861,-190.4970279,-9.011009137,27.64436698,-130.0964454,0,-132.6839316,-203.0216884,0,-0.006871817,-0.002662288,-0.021350662,
550.4639996,2150,78.94341987,-24.42178524,43.52787441,-18.17280257,18.48275699,-49.69544952,94.56914306,248.2707794,91.37643102,27.39120407,-24.52613641,79.54313753,0,92.16293742,144.9412758,0,-0.006826649,-0.002272544,-0.021174554,
550.4719996,2150,-8.388346401,7.816706698,-25.62204162,17.61094729,-7.102375396,46.25636276,-207.4687757,-307.2776617,29.41405484,-13.49617292,26.69419479,-16.25946516,0,-47.55385029,164.1021467,0,-0.005882246,-0.001106428,-0.020767857,
550.4799996,2150,-132.9911123,-25.2358307,7.769305111,23.85898389,48.15224618,-11.42756334,196.3549473,268.1944796,-161.7778438,23.89892037,9.205752973,-59.89847739,0,-47.27633146,-224.2808907,0,-0.006529875,-0.002357486,-0.021180688,
550.4879996,2150,178.0658778,12.22506995,37.67276249,-11.8078358,-11.84721119,0.964066567,-138.7324179,-87.05020501,220.5517116,21.21611506,11.76183229,135.2120886,0,99.27655828,387.6370985,0,-0.002453968,0.000116065,-0.0208682,
550.4959996,2150,-189.7669262,-21.74728307,-35.10896865,31.23060384,19.36838042,47.40635227,8.036956386,-86.76650963,-188.1978551,-2.62168681,40.90688947,-116.064829,0,-125.5919166,-192.493894,0,0.003158203,0.002812721,-0.020912537,
550.5039996,2150,98.20675584,-15.89295254,55.39089082,-15.36417259,20.06569561,-33.88105644,109.2703989,273.7821413,93.86951543,37.17340537,-10.99919606,93.58783968,0,98.68162359,160.0925042,0,0.00240443,0.002116486,-0.020962942,
550.5119996,2150,7.323152445,4.326145087,-21.92704483,5.329214879,-17.09015426,50.29988224,-203.7733994,-300.2377399,27.96250634,-3.916855797,34.93674031,-8.924412333,0,-48.87090581,185.39459,0,0.001340654,0.001893956,-0.020779055,
550.5199996,2150,-123.1565528,-37.4578553,6.705529428,9.232173489,43.3845051,-21.52123747,198.0757831,274.4354065,-169.0505278,28.09011341,4.218044209,-64.28352034,0,-50.72844216,-190.7807317,0,0.002728932,0.002216751,-0.020890233,
550.5279996,2150,186.0284264,7.376606374,31.05357284,-22.70256109,-4.947845521,-14.72752219,-154.424725,-89.80383267,210.049837,20.66899781,0.460906799,129.0471351,0,96.09035057,428.4393245,0,-0.002338643,0.000226742,-0.023344643,
550.5359996,2150,-185.1624353,-19.99436905,-44.34025644,21.9576895,25.40710522,39.4267156,-7.113285893,-91.15017057,-206.538252,-8.46195417,28.47655274,-125.4026369,0,-138.914268,-176.9783631,0,-0.009109185,-0.0025438,-0.027509648,
550.5439996,2150,111.9666909,-13.21865635,54.39672213,-15.79915323,29.65695697,-29.83240299,111.6953136,278.611133,91.60878556,37.53076012,-16.09703933,90.66305839,0,96.65748174,166.5502417,0,-0.007815727,-0.00212644,-0.026953343,
550.5519996,2150,15.3621255,3.113070586,-23.56736314,2.795073943,-10.26967372,39.96814988,-203.2379522,-303.205672,31.45886848,-1.18746571,32.4644873,-8.576011799,0,-42.83633302,180.8241052,0,-0.006409758,-0.001544361,-0.025733551,
550.5599996,2150,-128.2595115,-36.86948513,1.990635376,-1.057656325,36.92222453,-21.90749669,198.8145599,271.4958658,-175.6022751,21.62277087,-4.149584816,-72.65776997,0,-58.63695181,-215.2113731,0,-0.007804246,-0.002221454,-0.026887891,
550.5679996,2150,179.8517963,6.481237792,30.12935442,-30.48157975,-5.57764573,11.07541664,-139.601741,-90.77315879,203.8697416,16.5099346,-5.024813734,116.2673021,0,90.74116589,401.5177696,0,-0.008379414,-4.99E-05,-0.027713347,
550.5759996,2150,-199.7382649,-33.14148972,-48.79574661,12.44440184,28.51407901,41.9651396,8.469570217,-97.47903374,-210.7799858,-5.415225935,23.64090883,-137.0949098,0,-132.4518054,-200.1686135,0,-0.011191729,0.002650565,-0.03054383,
550.5839996,2150,94.15562612,-29.94519276,46.91250899,-29.81675955,18.66177605,-41.88668705,112.3885016,268.8490697,78.49710074,33.41418652,-28.17947644,76.18631639,0,96.43832826,147.3933548,0,-0.011027374,0.002153772,-0.030354435,
550.5919996,2150,11.67871965,-15.52790005,-26.45812535,-13.18049317,-16.32464486,34.31694811,-213.2689961,-319.6682739,16.04340792,-18.30054626,14.10858969,-29.93995928,0,-50.1234172,178.6934813,0,-0.009514886,0.001666399,-0.0290079,
550.5999996,2150,-125.23141,-49.6810055,0.152082048,-10.27347454,42.40876289,-33.70579798,189.3578534,260.2147558,-179.4068484,8.80852081,-20.60595519,-90.1472068,0,-62.19561995,-197.089007,0,-0.010638538,0.002213315,-0.030086789,
550.6079996,2150,197.6164713,9.759099302,31.6317898,-28.1428362,-9.403950362,-0.222911957,-140.1183688,-87.2857714,204.5972823,24.07953643,-3.880138546,117.4034594,0,96.53075376,410.2932228,0,-0.010483709,0.000959222,-0.031741956,
550.6159996,2150,-167.7934227,-30.65445028,-43.44025232,9.899745757,17.06253457,30.17186998,10.98049669,-85.89986974,-206.842886,-2.384461666,26.78645304,-129.3660033,0,-134.5349003,-188.5492443,0,-0.011817886,-0.000398223,-0.035911438,
550.6239996,2150,116.0279373,-21.50581339,49.95072681,-28.9336276,12.16856016,-46.73543223,104.9852538,283.6614075,87.23026629,28.36635472,-31.19484721,82.5140805,0,84.71326573,182.8522292,0,-0.011741922,-0.000109743,-0.035476308,
550.6319996,2150,40.03058056,10.7091234,-22.54463569,8.702070243,-16.62103905,47.39706524,-216.6281325,-302.5047995,25.07069983,-0.08186412,28.79253769,-11.65939416,0,-44.46195569,186.4709589,0,-0.010641093,1.20E-05,-0.033712067,
550.6399996,2150,-87.75891544,-33.30235354,3.205249836,5.651749936,37.10742495,-30.34066564,195.153515,277.54504,-168.2662251,29.5681022,-1.046282761,-66.38928138,0,-46.41632296,-225.7131953,0,-0.011287527,-0.000206884,-0.035118715,
550.6479996,2150,222.1338108,10.49153523,32.31159253,-28.12975613,-24.8961087,-11.83105814,-148.1078486,-77.49668202,216.417582,22.91811944,2.472834558,129.9772876,0,106.2059006,390.8462879,0,-0.009654965,-7.71E-05,-0.036441097,
550.6559996,2151,-140.6336949,-15.07862868,-40.83687109,22.19431132,11.04253494,36.43356502,-2.574789862,-82.46830777,-194.0313604,-3.435169709,36.20631298,-121.3959707,0,-120.1509159,-195.0365852,0,-0.008168646,-0.000117293,-0.04059991,
550.6639996,2151,147.6304263,-5.462975202,47.87531798,-19.29959707,18.91773085,-40.10085757,101.9861842,277.438543,100.7926656,34.44100319,-11.33579385,97.70671178,0,101.9962923,169.067308,0,-0.008295609,-0.000170501,-0.040169011,
550.6719996,2151,54.52869027,5.467977524,-26.08176622,2.875631435,-9.399542659,43.74208779,-211.2846127,-317.633954,33.09068477,-2.953066412,47.06043333,-0.912927533,0,-42.18049075,171.8177852,0,-0.008137037,-0.000102919,-0.038188943,
550.6799996,2151,-84.17849013,-33.40012107,5.037268531,10.43783182,43.86532714,-18.3077765,203.2584785,265.3213111,-163.3490007,24.48701977,12.23879312,-65.79725134,0,-44.97199428,-214.6217989,0,-0.007831983,-0.000176997,-0.039654356,
550.6879996,2151,231.5554871,20.30409907,32.45832234,-16.74732383,-22.83996494,-0.641717859,-148.936864,-99.94796788,218.3110845,24.87023587,16.1010278,132.0210089,0,109.832314,404.5342322,0,-0.007688894,-0.000148867,-0.038242597,
550.6959996,2151,-130.2966305,-18.58271796,-41.06606538,25.10714094,14.22126822,32.19043658,5.780201614,-103.247367,-198.2162986,-0.65258607,49.92209107,-117.13775,0,-126.7647445,-218.4264278,0,-0.007511028,-0.000159573,-0.038177321,
550.7039996,2151,149.8773861,-25.73286878,42.77159428,-27.9517016,16.13255545,-50.37863512,123.1560112,285.5609291,96.63385732,30.68203198,-13.62973895,94.21729282,0,104.9718157,147.6686093,0,-0.007259928,-0.00018749,-0.038243826,
550.7119996,2151,58.36802295,-14.38449559,-42.55862376,-17.5125002,-31.92753036,29.81914371,-213.5328878,-305.4063432,25.99873056,-19.83488772,24.09896621,-15.27286071,0,-37.46203737,178.2290776,0,-0.007130549,-0.000165517,-0.037279337,
550.7199996,2151,-70.37268882,-47.96285378,-11.13456485,-12.38511231,25.81664039,-38.27469008,191.6048598,279.2568856,-173.1147673,5.861388741,-10.57443974,-79.49278769,0,-61.39480681,-214.5321911,0,-0.0068996,-0.000199622,-0.03757982,
550.7279996,2151,247.4538584,9.05850187,19.91811895,-28.5856553,-23.37738923,-10.51766446,-147.5830864,-69.63477724,214.7122948,13.90812643,0.278229783,125.3413011,0,95.76969348,406.2162113,0,0.001014676,0.001528952,-0.039464572,
550.7359996,2151,-123.6902231,-26.96128109,-52.09526574,19.40282343,9.978713208,37.57390576,4.494974222,-79.99477858,-201.3551295,-5.185542341,33.2961424,-120.0625491,0,-125.3774665,-199.3092614,0,0.013707628,0.004298468,-0.043444144,
550.7439996,2151,150.8111195,-29.2948899,43.26005063,-31.67061544,7.859069243,-49.63793257,113.8393736,286.9027087,90.39586339,30.75422774,-26.9901567,93.19201243,0,99.49656815,173.9617244,0,0.012283864,0.003924163,-0.042688086,
550.7519996,2151,57.36438724,2.070354232,-31.35150242,0.443746439,-22.77323841,39.89381658,-219.462362,-320.7452974,22.14446304,-18.20766774,36.24576863,-11.31953438,0,-41.34248101,187.0054542,0,0.00903765,0.003168866,-0.041045565,
550.7599996,2151,-76.68503408,-27.16595768,0.062356431,13.25599158,45.88697172,-15.49193568,207.4143701,265.9677732,-176.8511495,16.22688802,14.93286213,-66.86414918,0,-41.99593455,-236.0731349,0,0.012661677,0.003913835,-0.042088998,
550.7679996,2151,240.7494211,12.69853444,29.44367634,-24.61637254,-16.32168864,-3.384001481,-126.6322065,-82.06938665,216.0155603,26.06293807,8.697369351,137.4162688,0,119.3329844,398.6280067,0,0.006072809,0.002505926,-0.041677454,
550.7759996,2151,-249.9304198,-41.62922494,-62.63904279,21.76980648,20.98515444,24.48047512,126.5970277,25.01161486,-339.5239953,-11.94546768,36.82377045,-200.5732932,0,-183.0759777,-421.0433121,0,-0.000489335,0.001152993,-0.042900376,
550.7839996,2151,9.490183325,-63.44606126,62.10026235,-38.84647479,53.78025795,-118.1839317,510.4075709,844.1147233,-106.384796,41.79385269,-53.98295512,15.11533832,0,74.71990884,-220.711071,0,0.001235155,0.001467858,-0.042637755,
550.7919996,2151,171.7541413,-19.17446004,37.20092598,-43.04450095,-3.535687132,-52.14566546,77.44166756,235.9496066,117.7439469,19.72527081,-21.9709268,93.11554239,0,97.95175591,221.434146,0,0.001680484,0.001482723,-0.041369049,
550.7999996,2151,-38.36352327,-22.17773715,-14.96551289,-6.184968199,9.415358636,-12.89938477,94.85060036,125.8905368,-108.0407046,3.57417543,8.180516728,-54.25144417,0,-45.24112562,-95.07577076,0,0.000990999,0.001322154,-0.041857194,
550.8079996,2151,157.3553391,21.43605468,-10.15241966,-17.08985416,-27.8492545,10.13191813,-180.574643,-191.9105695,139.3241199,6.702522166,17.5647716,69.38124118,0,42.14760931,322.0257683,0,0.001558636,0.001375571,-0.040912084,
550.8159996,2151,-77.0660595,-11.64386906,-36.21656925,6.700650418,9.227053455,10.77339934,46.05392163,16.67093491,-136.6526836,8.937890861,24.24402663,-67.12740795,0,-65.16284971,-131.2108932,0,0.00156389,0.001333396,-0.040649782,
550.8239996,2151,131.4373024,-7.611726187,22.23133904,-25.20252562,0.111113797,-30.42901265,57.98160745,177.5275113,77.46708388,22.18375093,-16.0134999,73.9848336,0,71.49313106,162.8721406,0,0.001423362,0.001265399,-0.040434377,
550.8319996,2151,52.22182986,6.959696989,-32.72701676,-5.817595135,-25.46690952,27.32647988,-198.7582618,-292.0955526,18.60352917,-12.09814861,23.58282348,-13.71788506,0,-48.64196707,174.6186207,0,0.001810504,0.001288564,-0.039722916,
550.8399996,2151,-64.65383577,-39.40164926,1.469473298,-11.6009496,22.70626211,-46.2164455,185.3845874,259.145894,-140.0234251,9.067745542,-5.954171863,-55.13603472,0,-45.4686229,-169.6463055,0,0.001636422,0.001217784,-0.039639298,
550.8479996,2151,203.2412809,7.27560829,13.78624434,-34.28459828,-34.58336866,-7.99712544,-169.4739927,-153.1966335,186.6158706,-3.345553558,-3.010413613,101.8041999,0,61.07711658,394.4586085,0,0.002684101,-0.001373615,-0.035612395,
550.8559996,2151,-116.3968242,-17.50069292,-44.54490723,4.1213833,0.895521625,21.38336323,5.660050822,-89.89253352,-179.2377207,-12.54294441,24.28370312,-106.2369265,0,-119.2198386,-150.3817868,0,0.004168905,-0.005569868,-0.029729572,
550.8639996,2151,130.8225067,-20.58087904,26.7201727,-40.8975132,-6.84634746,-51.86023384,82.49805656,209.4762671,79.4086066,15.05553994,-23.67116597,76.69959253,0,72.68691983,171.7945847,0,0.003953726,-0.005074003,-0.030109853,
550.8719996,2151,47.73257707,-3.947666058,-47.86714788,-20.09867499,-52.40819053,20.16288032,-232.1456706,-346.5415313,17.3162649,-35.22029465,17.47274964,-25.24928484,0,-59.50464385,196.177729,0,0.003779228,-0.003944672,-0.03114511,
550.8799996,2151,-84.48569597,-37.05470604,-16.6496892,-13.56852596,13.11229648,-42.99590934,178.2394579,232.1369803,-171.2110309,-14.10971018,-11.48424117,-83.43767898,0,-62.98861054,-191.8978927,0,0.004121609,-0.005132975,-0.029343732,
550.8879996,2151,225.4874189,18.26972634,13.52633241,-31.64814135,-27.49920099,-6.929899512,-152.1668968,-114.5131014,203.6521344,-6.50954531,-6.24340289,109.4691541,0,75.93103647,413.0588206,0,-0.000318499,-0.006909299,-0.028265713,
550.8959996,2151,-127.6135887,-10.91731622,-52.86117491,13.9915418,-7.663380179,27.89497486,-6.651870063,-105.0149384,-188.4791267,-16.05854865,30.02052462,-122.7529067,0,-136.5447068,-170.3076547,0,-0.007193415,-0.011183822,-0.025044266,
550.9039996,2151,140.1520195,-6.215842106,34.96398321,-24.93858151,-6.343217846,-48.12690543,104.6801642,255.0851875,85.03667257,17.01067642,-22.78327884,77.2910292,0,76.05025483,159.1901604,0,-0.006167792,-0.010881487,-0.024753245,
550.9119996,2152,71.96735733,19.12457226,-32.45026748,4.822735224,-38.69635393,40.00293526,-211.5267948,-317.0649713,31.30234979,-16.73301508,30.4029694,-6.999029284,0,-46.13344233,196.3917058,0,-0.004351813,-0.009230456,-0.025828245,
550.9199996,2152,-79.12270809,-28.05789745,-9.631275422,0.242465638,5.452976904,-32.17985599,192.2445551,245.7829709,-174.3453096,10.52939769,4.563569386,-64.12037721,0,-52.04647867,-202.8676564,0,-0.00610649,-0.010748328,-0.024268027,
550.9279996,2152,226.8457458,19.25373175,17.85588789,-27.38268389,-49.72658255,-7.636707995,-141.7423227,-105.3375533,204.2828444,1.8924156,-0.736493162,129.111804,0,90.96297696,418.4098828,0,-0.003897537,-0.007048658,-0.023131346,
550.9359996,2152,-135.4070636,-4.020873958,-49.78860923,28.05550956,-9.352276547,40.25413425,-2.544601655,-122.8740757,-198.3358676,-9.89192475,41.62542065,-112.3042039,0,-131.2781597,-172.2361155,0,-0.002573619,-0.002959313,-0.019967767,
550.9439996,2152,140.0571221,-8.757436819,34.72829901,-28.56115295,0.814537326,-45.77203195,110.4622172,251.3402678,83.89067878,29.66193814,-12.59219533,97.37928037,0,91.7989534,169.8477653,0,-0.003041204,-0.003755765,-0.019804241,
550.9519996,2152,63.07021006,6.893333475,-38.54698771,-10.50298002,-46.4094497,33.35932402,-222.4987988,-342.1146771,22.9553992,-26.16529407,25.96253313,-5.340837347,0,-52.08464736,207.9022759,0,-0.002524114,-0.004151918,-0.020848209,
550.9599996,2152,-89.91736611,-34.72325055,-7.094576126,2.577970685,5.887633291,-33.07201817,187.9944712,226.5515314,-186.0428163,-1.627252346,1.343429618,-71.57799623,0,-68.77523508,-212.5650334,0,-0.002638783,-0.003459433,-0.019402384,
550.9679996,2152,226.1616083,10.77999578,22.04171712,-26.57176852,-38.75036115,-10.60869518,-146.2883187,-114.1652433,207.3224346,0.343401934,3.862338614,134.4747965,0,95.28161163,403.8713413,0,0.002797615,-0.001231057,-0.015725692,
550.9759996,2152,-137.0916948,-8.933170019,-48.71086166,27.62609025,-11.68569797,39.15082424,-20.03213574,-140.4790491,-205.5872577,-22.86225295,36.67425227,-114.9693941,0,-130.9870326,-198.3954206,0,0.011241469,0.003035477,-0.008421793,
550.9839996,2152,136.3534572,-9.486336878,42.68696751,-24.417431,-2.774835452,-44.44241434,111.9548419,251.5143114,76.59493034,18.69376496,-17.58615995,94.1017999,0,90.5545646,118.4568032,0,0.010240872,0.002720384,-0.008899222,
550.9919996,2152,52.982433,-1.019233729,-38.16303887,-13.92176919,-36.81272415,39.33422219,-213.6876782,-332.8874691,28.82065125,-35.0978447,19.82724201,-8.39571786,0,-46.66009586,162.3374427,0,0.008194131,0.001359267,-0.011088284,
550.9999996,2152,-102.6862752,-48.2839218,-13.0516664,-5.65389535,9.256169432,-34.34170221,185.5166445,237.2913641,-190.7535301,-20.66096722,-25.1736477,-85.18306943,0,-67.84786909,-238.1475187,0,0.010510864,0.002764869,-0.008586546,
551.0079996,2152,215.8220666,-3.458955113,23.7259801,-35.62950426,-44.51622342,-23.36145055,-140.2581972,-94.90015951,197.9083076,-15.39674534,-26.15088605,117.8211541,0,95.42851704,397.6781039,0,0.010793765,0.000152679,-0.005769187,
551.0159996,2152,-142.824274,-14.22785037,-51.14619987,24.92548319,-6.515512696,45.534367,-9.170410138,-119.2178639,-208.7521673,-35.8404104,17.08316353,-133.2459773,0,-129.8448052,-184.6060428,0,0.013806987,-0.00251491,0.00155383,
551.0239996,2152,137.7250285,-7.485900931,40.57121253,-20.58363326,-3.42163339,-37.22324096,108.9974082,262.5193849,73.6928988,11.28548416,-32.45189889,80.43679047,0,95.57004272,137.5301014,0,0.014000746,-0.001825594,0.001224845,
551.0319996,2152,50.27197194,-5.328147028,-35.5601566,-16.16272791,-64.05863211,14.80269071,-224.308638,-341.8378807,31.36004183,-32.72079265,12.47578205,-16.70614833,0,-35.87435887,185.2218174,0,0.012309759,-0.001667981,-0.001541556,
551.0399996,2152,-110.8797339,-54.33681453,-22.72805817,-15.64926517,-15.17137083,-58.08313491,177.5521521,219.893243,-188.5163945,-29.2459882,-31.86211121,-102.9795581,0,-68.56676343,-223.401684,0,0.01385908,-0.001955863,0.001241427,
551.0479996,2152,211.1041276,0.581086941,13.67672144,-39.58421109,-50.89397825,-24.70299693,-146.0753093,-112.4859193,198.0959196,-31.2246872,-34.74837437,98.54538239,0,82.86418422,401.6517528,0,0.008512966,-0.002604659,-0.001468165,
551.0559996,2152,-159.4708,-24.74364295,-53.96631651,15.26147252,-25.42368429,28.543081,-11.65837761,-141.8722452,-208.8781394,-44.86968288,15.20751478,-146.1413538,0,-139.2244427,-193.8346552,0,0.001682406,-0.004004689,-0.002559834,
