Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Event Id
583.2399996,2278,67.69188403,20.20016328,66.24996851,12.00560295,12.49943316,53.7805604,-123.9987972,-10.88828577,0,105.7536446,-75.93289319,0,0,1743.248278,-85.25969151,278.4842379,
583.2479996,2278,-34.73684936,29.06829861,-20.16288465,-38.72910712,22.88980118,-200.0951831,105.6950871,-273.7723668,0,-42.51022756,264.6205384,0,0,369.6091749,57.9426047,-276.5360165,
583.2559996,2278,-1.789055645,33.08090098,-3.692242796,131.4292648,-64.30127033,349.8021099,28.59057811,658.195483,0,118.380519,-333.6606137,0,0,992.8891634,-35.2800977,201.9314875,
583.2639996,2278,46.17855061,19.85654448,61.32748643,-75.76571398,71.4365429,-288.2851797,-55.77722724,-603.2286912,0,27.12166022,262.2361094,0,0,1301.063148,-29.24077608,-15.56363407,
583.2719996,2278,-68.09755939,14.31598438,-48.6004583,101.7308456,-26.2959481,206.1897067,172.7540259,506.7160537,0,-3.003411501,-106.0678876,0,0,143.0742991,60.48595333,-149.261219,
583.2799996,2278,60.51137327,25.11128191,77.10687952,25.6375387,27.55928679,75.29032118,-106.1141832,18.21044605,0,107.7204545,-72.78351284,0,0,1741.600499,-58.05240438,315.0419785,
583.2879996,2278,-27.60492602,36.33136619,-10.73248106,-37.47979188,58.65862155,-206.3478279,111.9323735,-295.6705426,0,-40.05585612,307.8254618,0,0,405.4062581,90.59825759,-255.7650181,
583.2959996,2278,4.067763671,38.50283249,-1.976493042,141.7303881,-53.10397704,357.1761374,28.77917663,671.0074617,0,105.1331651,-304.5673612,0,0,974.5588747,-4.742221447,206.5877188,
583.3039996,2278,57.52374031,22.8610844,73.36337648,-69.77844915,65.90739845,-293.1102172,-70.93335341,-614.4676422,0,28.13759485,271.9563686,0,0,1335.91709,-21.62628154,6.194573389,
583.3119996,2278,-52.18699562,31.44561762,-34.34821997,102.3160805,-27.09619722,178.7478852,174.4001721,464.7031145,0,16.41722735,-89.31716718,0,0,112.1269732,64.12971842,-158.9563281,
