,Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Aux1,Aux2,Aux3,Event Id
58981,471.8479997,1843,125.5541589,-2.202082562,-5.055593835,-48.44422022,-52.95096274,-24.12185511,-147.6366085,-80.95024366,288.933246,-30.45119774,-38.65088366,100.0274309,0,105.2329417,482.2182178,0,-0.019983563,0.001169541,-0.009301456,
58982,471.8559997,1843,-156.2493638,-37.48538684,-57.84256896,3.673209598,-2.653710243,17.64870708,-64.7876,-244.7612531,-267.3281501,-38.65297008,32.31628125,-165.7585064,0,-171.2068726,-390.8039395,0,-0.021634297,0.002268336,-0.009731316,
58983,471.8639997,1843,29.96463617,-41.71378714,38.92864194,-54.55987545,-8.896071063,-85.31969699,185.1566195,323.6858238,184.7035442,-16.00235057,-51.84263144,58.56549282,0,65.73172072,152.3723889,0,-0.015974605,0.002418476,-0.009294007,
58984,471.8719997,1843,14.94583015,9.6569034,-66.92073311,-17.96837374,-55.44773594,42.11022338,-304.6015432,-428.4315287,2.718440264,-46.98021681,-1.274424686,-42.59280357,0,-43.45162243,153.6761646,0,-0.009050005,0.003889192,-0.009258375,
58985,471.8799997,1843,-124.3955144,-47.14258094,17.36175025,-10.93555048,30.38239189,-40.09703487,254.1808381,223.7115206,-160.3033645,-10.20182938,4.37359448,-104.1215326,0,-104.5960752,-391.6941014,0,-0.010150104,0.003969205,-0.009271611,
58986,471.8879997,1843,141.8911701,14.81403233,4.530086629,-39.94198027,-51.97119559,-9.585024891,-128.1964186,-66.5974478,291.1892888,-6.800462362,-30.8569009,112.5219866,0,118.4157635,471.0161724,0,-0.011131581,0.003109784,-0.008965053,
58987,471.8959997,1843,-141.8812293,-24.58898262,-49.81810504,3.779422633,-2.599973787,30.14949526,-61.02709496,-253.3652416,-260.5274973,-14.19464479,41.56958,-155.888832,0,-155.1725999,-389.3564068,0,-0.009661024,0.003856357,-0.00904611,
58988,471.9039997,1843,41.18418958,-30.13500315,46.96270434,-42.40313341,-7.130872506,-64.62620811,212.5427118,337.6466413,183.5284833,5.983919217,-44.31548798,71.45308921,0,81.27488147,143.5441664,0,-0.006970786,0.002462364,-0.009685734,
58989,471.9119997,1843,30.78617929,16.36628766,-64.45839104,-6.792430853,-50.58220685,51.53773868,-295.0724066,-427.1166693,11.94640538,-26.9929064,6.170932546,-21.10620958,0,-26.15204455,160.1097561,0,-0.001194514,0.001110135,-0.011005513,
58990,471.9199997,1843,-128.2317991,-52.66640676,8.632496234,-14.14617827,34.50303592,-46.32764441,241.8534629,211.8570607,-169.1805197,-0.279789013,5.217664957,-102.133203,0,-104.1994721,-414.5261281,0,-0.001460769,0.001421822,-0.010751996,
58991,471.9279997,1843,141.2794558,5.77091625,-4.136226181,-42.70059073,-54.61698937,-14.97175783,-127.5547461,-47.61021452,286.4576249,-11.81898895,-42.88436183,113.0550299,0,112.7178302,463.3597283,0,-0.003445216,0.001440765,-0.010208111,
58992,471.9359997,1843,-135.5042879,-32.67742692,-61.61251435,1.56178794,1.726447399,29.10815209,-82.84801524,-260.4547498,-264.4571773,-25.0514048,33.71466103,-151.8082174,0,-167.0354584,-385.7258084,0,-0.001360859,0.001287982,-0.01055005,
58993,471.9439997,1843,32.76659608,-46.95761841,34.01486596,-57.5605794,5.193135908,-77.50996952,189.784323,337.6223459,166.902778,-5.013421569,-51.89486382,61.40690893,0,60.15884541,116.7206109,0,-0.002631218,-0.001248594,-0.010130321,
58994,471.9519997,1843,28.24067051,-0.145750129,-73.88957566,-28.24868959,-52.96968256,36.89440195,-321.2811739,-423.4440603,-0.1306094,-41.45222453,-5.916208966,-35.93504709,0,-43.88378191,150.9250263,0,-0.002420852,-0.005445813,-0.010071815,
58995,471.9599997,1843,-135.7252657,-61.41083602,1.433053817,-25.61439948,38.11937897,-51.21642092,221.6033017,205.6966069,-189.9744301,-11.00496042,0.552034193,-113.0129014,0,-119.6886667,-436.0891462,0,-0.001922945,-0.004981176,-0.010045253,
58996,471.9679997,1843,127.6713756,-2.316073287,-11.12862362,-49.30745436,-37.85971087,-21.34292822,-124.8719327,-31.95630705,278.4081007,-15.29995594,-50.0341982,114.7573196,0,108.3737627,454.3067609,0,-0.002754315,-0.003811712,-0.009749668,
58997,471.9759997,1843,-147.4376007,-40.68749779,-69.83014653,-5.874473773,7.618184423,26.43833755,-80.90461573,-253.211815,-275.3264431,-30.84938493,25.59855718,-153.8655226,0,-170.4223481,-388.1118906,0,-0.002031956,-0.005025428,-0.00978451,
58998,471.9839997,1843,25.19947135,-46.70106333,36.14936227,-55.88078951,16.06120198,-66.21295071,217.5349598,367.5070578,158.7942848,-12.62589873,-54.06000319,56.32600323,0,56.46835533,108.2693097,0,-0.003352913,-0.001636285,-0.006124027,
58999,471.9919997,1843,30.3798647,3.769689445,-71.29811194,-19.52065873,-38.45816075,53.280114,-294.3771949,-397.3041671,16.54557926,-42.74336735,-3.945215665,-31.30435515,0,-36.52715915,183.3095101,0,-0.00464539,0.002447635,-0.000464265,
59000,471.9999997,1843,-140.659889,-65.40071244,-5.082500655,-25.88125373,35.44126806,-56.35588293,232.4148033,209.7987139,-198.017674,-16.3106894,-2.273302692,-123.2085285,0,-119.024999,-426.094432,0,-0.004339819,0.001640832,-0.001097244,
59001,472.0079997,1843,138.6043398,3.099662494,-8.696172112,-49.79028857,-43.45303782,-31.3159647,-116.261986,-18.27535713,275.8732727,-24.43405232,-56.77525607,102.9037365,0,105.5788149,465.0453046,0,-0.004233505,0.00104483,-0.002433524,
59002,472.0159997,1843,-132.4422668,-33.25405012,-66.90250512,-3.192587023,-0.386006989,22.76812004,-93.37017641,-269.4234993,-268.7037213,-27.40461243,31.90701879,-157.5757697,0,-178.7469948,-382.022689,0,-0.004372794,0.001795012,-0.000847441,
59003,472.0239997,1843,21.07043098,-51.11551329,32.02634913,-63.86331437,-3.903777569,-85.79711176,212.5153187,368.1868271,147.5321511,-8.79448197,-55.10857656,49.55990321,0,45.42707936,81.55945987,0,-0.002567363,-0.003875963,0.000795433,
59004,472.0319997,1843,38.73037782,8.531876427,-69.44428887,-18.007661,-52.45151854,44.76662511,-299.1088057,-373.3892472,14.97333687,-46.73529973,-18.05037766,-28.97514062,0,-39.91397206,194.0850087,0,0.000247176,-0.012161589,0.005167083,
59005,472.0399997,1843,-143.6651717,-67.3596825,2.311385918,-15.05562064,29.7781429,-62.83078309,226.7694237,228.1391958,-202.2518699,-12.08176454,-2.135778924,-113.660289,0,-123.6237612,-420.9233493,0,-0.000180509,-0.010904575,0.005017707,
59006,472.0479997,1843,119.5414469,-10.71795101,-4.45595709,-49.10706768,-54.97139265,-44.05918056,-123.9713539,10.22168749,276.6065117,-23.71216044,-58.75044328,110.6317933,0,109.4702555,486.1219895,0,-0.000838123,-0.008966214,0.003298473,
59007,472.0559997,1843,-140.6037526,-35.53312132,-66.90251046,4.554059937,-7.254263127,33.30855892,-114.4977805,-261.0371681,-276.5853787,-38.19705335,24.7121395,-160.4281703,0,-175.2661138,-348.9806359,0,-0.000985221,-0.009293026,0.002418034,
59008,472.0639997,1844,13.74665509,-54.83326036,40.64619776,-55.90152844,-2.538144566,-81.68394062,217.1850903,377.3436684,143.3669299,-10.66975894,-46.18492725,53.18944193,0,51.37205078,85.23032668,0,-0.002887812,-0.005041676,-0.002877525,
59009,472.0719997,1844,33.34651807,3.578948857,-58.36889377,-19.8991768,-54.0747417,36.86445326,-309.694775,-388.9814437,32.84515428,-53.34928401,-10.77551297,-22.72047207,0,-30.26309535,235.5088553,0,-0.002634167,-0.005557314,-0.00217342,
59010,472.0799997,1844,-139.9271378,-53.46456269,12.63914801,0.677313361,40.00851499,-50.17429054,210.4249553,195.4702802,-204.9262127,-22.41057172,9.142753123,-120.9011028,0,-129.5561721,-407.9931933,0,-0.002132532,-0.006688941,-0.000695977,
59011,472.0879997,1844,133.466046,3.083553814,11.28962403,-33.27989994,-38.62274798,-31.09873335,-107.9455195,7.648158877,293.3493883,-12.50045008,-30.87886115,123.1755956,0,120.7149033,465.9492901,0,-0.002823807,-0.004989301,-0.002557038,
59012,472.0959997,1844,-140.6681902,-35.0930067,-61.77393893,1.679754863,1.674149214,25.75745223,-120.4332977,-285.4419281,-259.639227,-33.61586879,34.63477785,-151.7171422,0,-158.8540505,-343.3516566,0,-0.00663187,-0.00443009,-0.004621424,
59013,472.1039997,1844,4.333005013,-48.71227504,38.77012649,-51.48621818,11.97600775,-92.84567017,203.755594,359.814468,131.882033,-16.87449991,-53.76884062,45.46372372,0,52.51148244,88.00298534,0,-0.01379955,-0.001043503,-0.010692446,
59014,472.1119997,1844,35.54806196,6.303801124,-65.39733797,-20.9028089,-49.21681151,36.49913573,-323.4226805,-401.8483024,37.49052229,-41.74539747,-7.57648254,-14.98467109,0,-18.98673384,231.0355032,0,-0.012958649,-0.001239624,-0.010126158,
