Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Channel 17,Channel 18,Channel 19,Event Id
464.7599997,1815,0,178.3191506,0,178.3486715,-69.54215752,-112.6801842,0,-79.98562888,0,32.94643747,-56.93397975,0,9.6523786,-27.1663911,0,0,-0.003032614,0.000857157,0.003428471,
464.7679997,1815,0,56.42744592,0,86.88707974,50.19397941,57.90358448,0,54.65383248,0,-49.19990972,165.2347719,0,67.74566292,26.48753405,0,0,-0.003187395,0.00108798,0.0033364,
464.7759997,1815,0,-102.3120809,0,66.9415407,46.33589993,-5.223495248,0,32.57091522,0,93.28620969,-306.8516742,0,-112.8429122,-61.15909597,0,0,-0.002619395,0.001323767,0.002909397,
464.7839997,1815,0,265.3146891,0,182.6359849,-64.67023553,-73.2339594,0,-48.07034745,0,-53.98265754,232.7923756,0,101.1249351,10.38151218,0,0,-0.003426137,0.001049657,0.003385703,
464.7919997,1815,0,-179.2633953,0,26.49863381,113.1213858,91.07851485,0,113.3435198,0,37.35716794,-156.0682676,0,-69.58542733,-13.61468341,0,0,0.002918547,-0.002227359,0.003971049,
464.7999997,1815,0,170.6721502,0,185.8911614,-39.25517683,-92.198038,0,-49.8191313,0,33.59774326,-37.56850418,0,1.601846804,-29.61185228,0,0,0.012449968,-0.007788866,0.005414271,
464.8079997,1815,0,56.06977242,0,94.16706983,90.9454373,84.20563359,0,98.60260556,0,-19.08099478,190.6328448,0,62.37857343,24.68829469,0,0,0.010933214,-0.007154778,0.005356852,
464.8159997,1815,0,-86.27436027,0,87.90178492,64.29320745,0.931807132,0,45.09811045,0,104.6089013,-280.6956063,0,-106.6171873,-55.46779855,0,0,0.008436,-0.005505659,0.004797818,
464.8239997,1815,0,290.1433669,0,205.6471531,-45.75962662,-59.90708297,0,-41.54168529,0,-57.59833178,257.3761541,0,113.38796,20.50964402,0,0,0.010759702,-0.007127228,0.005348503,
464.8319997,1815,0,-162.8484052,0,37.57416212,127.7183167,99.26631701,0,123.7215039,0,54.27113579,-137.080476,0,-63.66394947,-13.32179191,0,0,0.00631831,-0.002533525,0.005840288,
464.8399997,1815,0,179.2634293,0,198.4560867,-60.82337754,-118.6541237,0,-75.15179668,0,22.73409076,-22.3570006,0,8.462675791,-28.86452603,0,0,0.002165522,0.002938509,0.007282293,
464.8479997,1815,0,62.78950574,0,114.498642,57.83684459,55.14819868,0,64.82399134,0,-64.52451383,201.0377744,0,72.97445896,34.88800782,0,0,0.003070889,0.001903917,0.007208232,
464.8559997,1815,0,-94.99147776,0,96.96880288,57.37106527,-4.60014941,0,45.18530448,0,96.97292838,-277.3915572,0,-102.3116799,-51.89140971,0,0,0.002930391,0.00115977,0.006595069,
464.8639997,1815,0,269.5961762,0,211.1347135,-51.96954487,-69.72246935,0,-45.34603303,0,-58.79566558,265.731645,0,117.0675887,21.58856321,0,0,0.002416312,0.002188305,0.007151401,
464.8719997,1815,0,-177.0793583,0,40.26126033,118.924283,95.61938143,0,121.4645433,0,29.9178728,-127.670934,0,-57.93452873,-9.744778462,0,0,0.005024695,-0.00016463,0.008453777,
464.8799997,1815,0,179.7558073,0,194.344065,-60.09601509,-106.4408463,0,-62.47654886,0,29.25309752,-17.58444191,0,11.36302904,-27.99598986,0,0,0.008970818,-0.002831511,0.01127275,
464.8879997,1815,0,79.66576361,0,129.6278169,37.15134561,49.76182874,0,49.70436843,0,-61.9419415,214.2748849,0,78.67474587,43.91631702,0,0,0.008150132,-0.002205485,0.010991799,
