Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Event Id,,
161.9919999,632,196.8074043,9.696925561,-21.04276906,-22.85482656,-51.38849106,13.8053399,-119.1509817,-205.0748338,181.5148994,-28.55551838,-30.12915129,79.82098152,0,85.4755572,427.1686797,0,,,
161.9999999,632,-178.3043943,-43.82139677,-41.89230463,45.70681783,9.349599622,15.7473198,17.58504653,-48.30726489,-303.7738218,20.52746685,51.07076793,-131.8102672,0,-193.4288658,-462.1908046,0,,,
162.0079999,632,137.1973253,-36.87345002,55.92946666,-41.70834911,-35.83876528,-72.12233361,210.4930308,221.4730031,247.3842153,-0.136626683,-50.31532918,148.4127793,0,135.6141343,285.9886217,0,,,
162.0159999,632,16.42848945,-3.860774835,-76.15107984,27.9331947,-33.23643598,54.75176094,-237.0071908,-361.1112888,-161.8182771,-11.00574451,34.24997508,-81.08694436,0,-121.7577455,-49.09185398,0,,,
162.0239999,632,-99.33408124,-75.97279585,35.7432096,-4.975468188,2.039390901,-86.75856265,298.6142397,316.6184423,-59.39545997,20.12358472,-6.062643091,3.984611521,0,-43.57633231,-261.8042883,0,,,
162.0319999,632,197.1537527,-5.488361957,-23.8597931,-33.59314175,-57.18746579,3.707012403,-114.3765984,-190.8659787,183.4881752,-38.3027619,-39.70495003,84.8546276,0,83.70987365,432.8979784,0,,,
162.0399999,632,-184.1771988,-61.07580823,-51.0130884,25.78251393,-2.574773613,-2.197394529,9.582648876,-54.90951535,-315.3399358,2.18948272,33.41305064,-140.8319009,0,-205.6786368,-437.1269343,0,,,
162.0479999,633,125.5090859,-43.66500774,48.43774916,-50.05377417,-34.53271985,-86.88963007,217.2258647,236.5272755,231.9153112,-20.29929623,-69.20643866,130.5942116,0,129.335546,315.1671834,0,,,
162.0559999,633,16.95946116,-4.068476441,-78.60426145,26.0838854,-21.48517525,64.19328315,-229.3830361,-350.0057266,-167.3626379,-15.68470013,32.35202337,-82.81781935,0,-117.1789764,-13.28197719,0,,,
162.0639999,633,-105.6182913,-71.80585371,34.4839304,-4.864988888,15.91554305,-76.68697907,302.4276884,322.0212772,-78.97207507,20.22224185,-3.863972149,-0.620455948,0,-48.78417927,-257.144073,0,,,
162.0719999,633,199.1684081,4.385328132,-20.61081772,-22.67102356,-39.40016948,1.908087826,-92.39299179,-169.4437825,180.5696397,-30.74877059,-35.67395169,87.2248512,0,100.8353669,433.8018618,0,,,
162.0799999,633,-173.5027176,-49.04323671,-48.17304235,44.56619115,18.94111673,16.87800627,31.61233673,-41.88468851,-312.7544406,20.04513875,52.71710534,-131.4106163,0,-181.2260628,-455.4406885,0,,,
162.0879999,633,139.8150465,-27.01759778,53.78282437,-36.36968368,-18.2178537,-67.90430779,239.3309052,258.6419443,243.0198525,-10.52365168,-55.25261571,139.6933426,0,142.2572051,284.2562567,0,,,
162.0959999,633,32.97930042,3.991910196,-77.43893634,24.11410476,-35.47841247,51.61796425,-222.9207879,-348.150112,-142.714456,-15.14604905,32.7950957,-74.63543341,0,-105.7498981,-17.10444642,0,,,
162.1039999,633,-105.392512,-72.6322296,28.28597709,-13.64442469,-11.00546261,-86.72503748,297.0772993,311.6832161,-72.35984348,22.14521609,-2.535776823,-1.955591214,0,-55.8564499,-268.0741393,0,,,
162.1119999,633,209.7535483,12.66295197,-23.98214964,-28.92207078,-52.50926824,7.064362241,-107.8858526,-177.2974683,191.9838288,-31.78326779,-34.25305489,90.83715284,0,88.1771175,437.9744817,0,,,
162.1199999,633,-170.1698502,-51.79391125,-47.37129877,31.63188221,2.111747395,5.575134931,8.670574254,-68.80211429,-311.8705013,10.24185337,52.50869704,-130.2283589,0,-200.7099923,-454.8175398,0,,,
162.1279999,633,126.9081183,-39.51566265,59.05568092,-49.04991076,-34.06949935,-86.67746189,236.4263237,253.0306724,235.3339036,-19.96099378,-54.78409938,136.4591685,0,121.3350328,281.3398572,0,,,
162.1359999,633,32.95653931,1.097168315,-72.96219594,24.07287212,-34.56356535,48.48792502,-229.9553956,-352.5172601,-146.4864009,-19.55094446,37.83744458,-73.14424185,0,-118.6364702,-6.445471809,0,,,
162.1439999,633,-107.9229085,-72.60730382,39.15116328,-3.747605385,-6.172837219,-78.48583895,301.778572,314.4269998,-87.41415709,11.03611415,0.667763916,-3.949787612,0,-74.91163551,-279.2199356,0,,,
162.1519999,633,220.4460694,29.68250948,-1.045326332,-3.043397423,-45.00400607,33.40252475,-91.5583278,-157.4599102,201.4921323,-29.41045143,-18.79036656,103.4679746,0,91.8507647,434.1217812,0,,,
