Time:125Hz,Epoch,FP1,FP2,C3,C4,P7,P8,O1,O2,F7,F8,F3,F4,T7,T8,P3,P4,Aux1,Aux2,Aux3
150.1679999,586,49.97091063,328.6100881,33.67440725,-1.662324425,28.16239045,53.80330609,-23.56652211,6.269381011,6.224688874,-2.630865532,163.8746126,36.44278076,61.16127185,-7.509595222,0,126.3551248,0.001445596,0.001917132,-0.006731406
150.1759999,586,-39.82249717,168.746361,38.05132593,30.56547116,-22.11581759,195.1493312,-14.18400204,48.58732655,13.90848796,31.41234074,-91.95468485,59.16101409,94.45307146,26.15507068,0,118.2188376,0.000725989,0.002791878,-0.007213218
150.1839999,586,78.50836997,222.0323938,47.11694915,-11.06837773,59.88192735,86.15324879,-22.47220167,14.93797801,3.286002211,-2.915532735,48.30386435,0.3470573,72.58362308,-17.55297154,0,192.1554853,0.001129849,0.002216631,-0.006797193
150.1919999,586,8.406931646,321.6057329,42.191869,-1.084119238,-36.35109105,112.4870479,-29.81222003,9.061954614,3.684554932,-0.028608999,72.27214352,69.21787939,59.13528733,-16.08095081,0,75.18067361,0.001904933,0.000551367,-0.005928591
150.1999999,586,32.08995189,145.5101697,57.52089021,0.59407673,34.80307973,159.7696671,-12.79216453,33.13350551,32.70456551,27.5023283,-111.2163702,15.0715526,96.59204971,16.13892636,0,173.1107039,0.003109291,-0.002045051,-0.004575596
150.2079999,586,94.27416279,356.6469028,74.64893031,-19.83308619,45.56253723,13.95641983,-11.98077024,-31.19032078,40.50356458,21.62826718,178.2762008,37.25737086,83.15522177,13.69984348,0,91.19599694,0.003192585,-0.002079235,-0.004467952
150.2159999,586,9.124664426,202.5883496,69.94406293,23.48462776,-0.333883687,150.6900352,-1.284351644,11.62731893,46.43079175,67.25048084,-58.78167368,71.28271387,110.6188721,62.10583674,0,67.31307464,0.002550822,-0.001033154,-0.004965953
150.2239999,586,108.6360082,271.9177854,38.25477654,-0.897097158,79.83738292,57.10750606,-11.20429887,-2.870316865,30.53947604,31.60076383,84.57257873,23.88697254,103.8976622,22.90668242,0,141.8091489,0.003074688,-0.002037708,-0.004371038
150.2319999,586,40.56086989,363.7946465,39.97373187,16.68771908,-14.8114436,85.0301188,-6.564522003,-8.000969882,15.24039191,32.50911186,90.76586094,89.26117602,80.0788314,28.84164458,0,35.99671164,0.004465776,0.000251576,-0.003755823
150.2399999,586,43.95717001,205.0509301,28.80690441,21.29478721,39.83753768,154.947201,-4.571037104,34.59606175,10.13924131,30.52554474,-97.90841835,33.91938056,59.64692131,27.75334106,0,149.5888429,0.0072181,0.002998302,-0.002279345
150.2479999,586,81.07809322,430.6579931,18.84120457,-6.216392663,29.25623978,42.72360752,-25.87933056,-4.89629987,-3.658102533,-10.96919131,169.3875361,52.81872763,39.83730867,-17.71975983,0,95.30403455,0.006997827,0.00235045,-0.002256268
150.2559999,586,-19.54089606,264.1575513,33.98263263,23.60168466,-22.09214012,184.1164839,-12.43817111,40.73295819,6.953740944,24.83130499,-87.14427852,69.40670094,78.41020802,24.20043688,0,93.38771257,0.005966515,0.002023991,-0.002797367
150.2639999,586,54.91579451,331.2441988,3.818209981,-12.5551629,56.7679956,90.82343843,-25.16949796,28.66111826,-4.287086031,-11.79598723,61.29046713,10.74792763,50.55874218,-17.99142112,0,171.3759979,0.006889468,0.002441509,-0.002177637
150.2719999,587,-7.912938991,405.2783903,20.51512383,-12.72849071,-30.57028069,109.9738074,-22.52506824,15.8881662,-19.88895787,-6.186405384,67.01640192,65.37992232,71.25492819,-12.15830182,0,64.34236729,0.001900946,0.000386141,7.49E-05
150.2799999,587,24.35420694,216.9620357,39.35485726,-16.47169784,39.16154554,150.3199121,-4.919887414,36.80676106,13.07134032,28.21953288,-92.88332881,-0.079621625,100.627191,29.74316966,0,152.4415153,-0.005028014,-0.00236889,0.00434397
150.2879999,587,74.65722644,430.6210706,21.11463178,-35.16716654,35.46336699,34.20615878,-18.67428396,-7.454629698,17.79175166,6.369264868,192.2260943,26.16154759,63.05601588,2.118631671,0,77.02728071,-0.003963164,-0.001937897,0.003963974
150.2959999,587,-14.97241297,267.008344,22.70955047,0.792314459,-14.86372533,187.3356092,-6.353469798,42.53466049,-1.325772035,25.8740399,-80.34385847,51.76242989,86.83345153,21.71228613,0,82.78886221,-0.002543,-0.001392966,0.002632917
150.3039999,587,73.14317521,331.5533975,-1.119323164,-33.10432822,58.4614615,84.73209535,-14.50177618,21.49922193,-0.644543087,-4.816435584,68.11652648,-1.685181282,64.5172637,-6.196061905,0,153.0646412,-0.004179913,-0.002037556,0.004005099
150.3119999,587,22.00811944,397.4465089,19.06297856,-26.67781191,-30.43816152,94.04082512,-7.421405308,-0.73584797,0.743370222,9.888523928,71.98418088,59.20750006,78.74914045,11.80716259,0,32.32788275,-0.00224596,-0.001613235,0.00136622
150.3199999,587,42.68014934,226.7082614,22.8335064,-19.77121697,37.91022951,145.3008908,8.446224774,29.33228578,6.764963125,28.49832189,-100.7638271,-3.652355682,97.21948068,29.60576213,0,124.0243035,-0.001005087,-0.001686645,-0.001283795
150.3279999,587,70.93102394,446.5627361,6.900150073,-37.90800412,25.25179183,34.00831793,-10.12751747,-8.751054429,0.979796388,-7.460843816,167.1032199,20.36070842,52.05400445,-11.57380351,0,61.02044168,-0.001553482,-0.001821298,-0.000647326
150.3359999,587,-1.916604789,260.8887134,28.94425991,-11.55809564,-18.73234487,163.6123365,-1.126354833,26.72692601,1.349554529,16.77787623,-96.1213307,41.10907729,93.29495569,17.24841659,0,63.46030127,-0.001240326,-0.001563935,-0.000472367
150.3439999,587,104.1223323,322.6987743,4.640985716,-38.78435254,60.68399243,53.23904085,-15.39327476,3.828897001,10.85833077,-2.006848219,77.79530844,-11.2798196,91.25436141,-1.933192906,0,117.5474388,-0.001392925,-0.001769411,-0.00079322
150.3519999,587,29.50098279,402.020156,9.466859514,-16.50636803,-37.75356107,85.48764258,-22.19300208,2.934176604,-0.312271051,5.814496509,82.3181712,56.58489107,77.95245452,2.463833099,0,12.87232953,-0.002150682,0.001810834,-0.000591619
150.3599999,587,28.38956322,246.4121295,0.905826023,-8.814180071,19.701612,153.1416066,-17.49832962,45.79411451,-15.875125,3.874094,-83.52704102,0.46996344,92.32945018,-1.825946869,0,132.113466,-0.003539128,0.007363062,-0.000609525
150.3679999,587,70.00426395,471.4636296,-12.68309906,-33.48283849,1.094464555,45.94691188,-31.42577851,5.600604455,-15.88039634,-27.41977948,191.6357452,23.46389629,59.01331241,-34.11273044,0,69.75420081,-0.003379276,0.006599387,-0.000706651
150.3759999,587,-4.723113272,294.3186614,7.889649003,-8.829288337,-43.01150045,182.7290562,-9.179202524,45.80543414,4.094806384,7.056396011,-80.06424478,37.86344859,58.38273811,3.404042075,0,71.50889317,-0.00291706,0.005184714,-0.000566036
150.3839999,587,74.5164006,379.5881156,-27.97598969,-35.17539531,38.228455,93.67615432,-7.516798826,39.004729,-6.787960435,-26.08496802,84.94220438,-14.29018866,47.83390035,-35.79963243,0,134.8457298,-0.00335124,0.006638718,-0.000671597
150.3919999,587,28.11400081,455.2878805,-9.552763558,-20.72757205,-55.07827587,131.0929595,1.302388163,39.11867699,-26.45482337,-16.24641122,82.38101068,54.96620659,56.81612144,-25.99284219,0,36.2752656,-0.002146257,0.003031921,-0.002338445
150.3999999,587,63.40428036,274.018016,8.205548608,-23.57311114,9.215162842,171.9285554,14.39890778,61.20855406,-11.1953769,11.71997446,-84.58626542,-2.175775689,76.20991395,5.957992476,0,141.8409417,-0.00079339,-0.001052255,-0.005108659
150.4079999,587,74.45122811,486.7818024,-8.88403371,-42.74133737,-5.54786412,56.91173653,-1.494790305,17.41122807,-12.95999352,-10.13285184,189.8530592,23.91998129,57.31280715,-19.06896908,0,64.38291056,-0.001021359,-0.000220704,-0.004787609
150.4159999,587,-15.94435549,301.5686826,10.74116638,-14.74140617,-43.09905623,192.8248617,4.172788917,60.59451332,-13.40323632,9.061779546,-80.31891735,41.30465383,67.83988581,3.912375142,0,74.59719536,-0.001195102,0.000232323,-0.003971633
150.4239999,587,67.70241163,371.4700681,-12.73021306,-47.02610716,39.590599,90.31619366,-14.09199406,41.7643221,-19.35098038,-27.39644153,77.20137314,-13.92866101,63.05384683,-33.56983205,0,135.8879567,-0.000928974,-0.000462212,-0.004775416
150.4319999,587,-5.706038402,447.2203052,-14.69103839,-29.16900591,-61.68420145,134.6322608,-20.70971394,46.57144646,-36.32071506,-20.96431471,59.58719438,48.16581877,58.17368042,-29.36072424,0,29.92720442,-0.002782727,-4.07E-05,-0.002479324
150.4399999,587,42.48581994,271.1537607,0.539803908,-38.18702415,5.348763224,171.0738151,-10.40421554,68.09129493,-17.18037147,-5.561592022,-109.6253286,-15.09626537,64.38945675,-12.96402163,0,141.3859142,-0.005529638,-0.000129338,0.000253185
150.4479999,587,93.92280529,473.855043,-0.531667158,-63.61212878,-6.373721968,42.41016707,-12.14790874,13.54460332,-5.791688933,-16.46142936,165.6220623,9.710618899,75.3607204,-27.39392416,0,52.94278363,-0.005080744,-0.000309768,-0.000256803
150.4559999,587,0.791114046,303.1126259,2.674029911,-20.36399338,-51.34514769,189.1411398,3.243423688,65.51304016,-9.88444382,18.04155975,-93.09953225,31.9506754,98.82911202,11.4251864,0,52.74933713,-0.004411223,-5.36E-05,-0.000635123
150.4639999,587,85.80219799,384.4653246,-15.90354977,-48.99110274,32.52909689,88.98406449,-6.289874985,44.89437339,-25.47084828,-28.00470262,76.54491563,-19.04248276,52.64008509,-31.37765344,0,126.906023,-0.005071246,-0.000289881,-0.000115211
150.4719999,587,17.76681227,444.7198531,-1.278103012,-32.38023922,-61.31504022,126.758062,3.181988254,41.01734011,-32.47548356,-16.57803429,63.1259977,42.97316525,50.26298444,-20.92164658,0,21.54225062,-0.002834726,-0.002755455,0.000426054
150.4799999,587,45.8481569,277.5345973,10.51977689,-28.57520075,10.3212722,170.7084173,18.19963201,70.85274067,-12.97517527,7.339320192,-103.5241357,-8.82861895,78.35509859,0.833148293,0,131.6618092,-8.26E-05,-0.00694688,0.00187555
150.4879999,587,83.91739112,488.9583329,-1.533456054,-47.29792079,-2.163245228,58.57138927,3.91107802,28.81313466,-18.06835748,-23.27026648,161.3748519,30.86249624,49.5273194,-29.65415098,0,62.67342357,-0.000545539,-0.006478967,0.00182744
150.4959999,587,10.64188517,298.1142731,9.629247687,-12.12975199,-47.75429262,195.8534497,13.4796182,72.74174626,-7.788629202,14.73657755,-100.2386937,52.47466585,66.81533559,11.39429874,0,67.89761868,-0.000965754,-0.005253352,0.001248908
150.5039999,587,121.5765736,356.4525243,22.5008371,-49.56520956,48.21796411,63.58158879,10.13199477,28.78972656,4.704559853,4.468373485,77.5704625,6.269770821,82.83853078,-7.323180409,0,123.6729353,-0.000386664,-0.006491636,0.001806118
150.5119999,587,51.36247114,411.1830121,29.72670483,-26.23934077,-34.85421734,92.45466793,14.45697459,20.22540463,6.092876089,29.83102275,75.68228613,78.72862983,107.3962961,15.86092595,0,1.233491762,0.000135598,-0.004763729,0.000578895
150.5199999,587,65.41070533,257.9961865,8.006049893,-8.97609413,25.63011061,143.0369958,14.44765378,57.82228798,13.83950998,37.37409727,-86.68123229,23.27362836,94.83737743,27.31362928,0,108.4292543,0.001605385,-0.003469357,-0.000775216
150.5279999,588,78.68556772,478.1022777,-10.11953868,-22.19067084,1.056353716,37.98424454,-11.69157024,19.43633288,-13.56705009,-9.47430209,158.0830017,53.40950152,57.8397304,-19.75146677,0,48.29555258,0.0015747,-0.00388207,-0.000472199
150.5359999,588,-1.871260105,294.1912036,13.83192109,8.504238762,-44.60778132,174.7928151,-0.265596914,62.55856314,-5.481150523,22.32323638,-104.6614384,70.58164326,80.10743675,14.27241833,0,58.10424374,0.00099224,-0.003702953,-0.000344765
150.5439999,588,114.3206184,368.7592475,19.06734853,-29.03221141,41.57120402,49.44617497,5.729496792,24.38781452,9.833118052,11.20596267,88.19277933,25.0984782,60.76317245,0.261031195,0,110.1435102,0.00157522,-0.003702102,-0.000541496
150.5519999,588,28.51364877,423.1438254,17.75119376,-7.412700546,-46.09432345,85.98674775,8.549335972,19.4546961,5.027994091,37.58403928,82.86001715,93.78285905,97.81329721,27.61789595,0,-5.668846184,0.00034774,-0.005359463,-0.002135164
